,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene_Symbol,Significance
210048_at,149.8633654,351.2786207,6.398790857,6.23E-07,0.006293399,-4.390411033,NAPG,Up-regulated
AFFX-HSAC07/X00351_M_at,10387.73144,26854.81448,6.300374366,8.09E-07,0.006293399,-4.393180078,ACTB,Up-regulated
208782_at,-770.9121635,1628.87069,-6.283256219,8.47E-07,0.006293399,-4.393667629,FSTL1,Down-regulated
204351_at,11031.8963,13961.12655,6.146071743,1.22E-06,0.006814067,-4.397638898,S100P,Up-regulated
202028_s_at,-2339.259183,4338.486552,-5.974463431,1.94E-06,0.008648211,-4.402769212,RPL38,Down-regulated
208845_at,-1478.439423,4460.986207,-5.667355776,4.46E-06,0.016547961,-4.412411371,VDAC3,Down-regulated
213852_at,-340.6367308,863.5217241,-5.491400232,7.19E-06,0.022894381,-4.418207173,RBM8A,Down-regulated
AFFX-HSAC07/X00351_5_at,7741.483462,20980.89483,5.348850067,1.06E-05,0.025511309,-4.423049201,ACTB,Up-regulated
214142_at,14092.81216,19110.3031,5.330301639,1.12E-05,0.025511309,-4.423688912,ZG16,Up-regulated
200016_x_at,-3367.719615,12405.31241,-5.321029452,1.14E-05,0.025511309,-4.424009533,HNRNPA1,Down-regulated
217749_at,357.7523558,688.0113793,5.265456468,1.33E-05,0.02696164,-4.42594285,COPG1,Up-regulated
201747_s_at,141.599375,150.4237931,5.228863897,1.47E-05,0.02696164,-4.427226779,SAFB,Up-regulated
202647_s_at,219.1103365,560.45,5.199482269,1.60E-05,0.02696164,-4.428263968,NRAS,Up-regulated
200950_at,872.5836538,2168.44931,5.16118779,1.77E-05,0.02696164,-4.429624163,ARPC1A,Up-regulated
209712_at,337.3353365,922.3275862,5.139253059,1.88E-05,0.02696164,-4.430407536,SLC35D1,Up-regulated
211974_x_at,-413.6917788,1531.532414,-5.128923551,1.94E-05,0.02696164,-4.430777517,RBPJ,Down-regulated
203728_at,299.745625,430.3868966,5.094406008,2.13E-05,0.027616464,-4.432018851,BAK1,Up-regulated
200700_s_at,2050.020385,5121.060345,5.077118365,2.23E-05,0.027616464,-4.432643439,KDELR2,Up-regulated
212246_at,131.3031731,204.0062069,5.033994796,2.51E-05,0.028134631,-4.434209828,MCFD2,Up-regulated
217562_at,-71.14201923,47.26,-5.03183702,2.53E-05,0.028134631,-4.434288519,BRINP3,Down-regulated
221269_s_at,1478.576971,3392.712759,4.955478464,3.11E-05,0.031784266,-4.437092382,SH3BGRL3,Up-regulated
207593_at,-176.1694712,263.0668966,-4.952469829,3.14E-05,0.031784266,-4.437203621,ABCG4,Down-regulated
208977_x_at,3874.210817,10943.41793,4.848175274,4.17E-05,0.04032647,-4.441095202,TUBB4B,Up-regulated
203649_s_at,11824.51764,15500.83103,4.833726876,4.34E-05,0.04032647,-4.441639738,PLA2G2A,Up-regulated
211048_s_at,535.9217308,1110.881724,4.815834059,4.56E-05,0.04065631,-4.442315904,PDIA4,Up-regulated
221943_x_at,-2781.303942,4929.455172,-4.7749433,5.10E-05,0.043226759,-4.443868679,RPL38,Down-regulated
201190_s_at,-294.1101442,1142.893103,-4.765301318,5.24E-05,0.043226759,-4.44423634,PITPNA,Down-regulated
201020_at,451.5205288,1050.748621,4.723790298,5.87E-05,0.046014675,-4.445825796,YWHAH,Up-regulated
